sku,description,unit_price_excl_vat,currency
PTS-1001,"A4 Bond Paper 80gsm, box of 5 reams",389.00,ZAR
PTS-1002,"Toner Cartridge, mono high-yield",1249.00,ZAR
PTS-1015,"Branded Notebook A5, pack of 25",812.50,ZAR
PTS-2003,"Safety Boots, steel toe, per pair",649.00,ZAR
PTS-2007,"Hi-Vis Vest, Class 2, pack of 10",445.00,ZAR
PTS-3001,"Corrugated Shipping Box 400x300x300, pack of 20",528.00,ZAR
PTS-3010,"Pallet Wrap 500mm, per roll",187.50,ZAR
PTS-4002,"Site Signage Board 600x900, printed",1095.00,ZAR
PTS-4008,"Vehicle Decal Set, printed and cut",2340.00,ZAR
PTS-5001,"On-site Installation, per hour",585.00,ZAR
PTS-5002,Delivery - Gauteng Metro,350.00,ZAR
PTS-5003,Delivery - National Outlying,875.00,ZAR
